evidence_id,type,title,source_path,evidence_path,related_question,status,notes
EV-001,document,项目概要 Markdown,Final_Project/Proposal_and_Overview/Jetson_VLA_Deployment_Benchmark_Project_Summary_ZH.md,,项目方向与范围,selected,说明研究方向、创新点、benchmark 指标和阶段目标
EV-002,document,完整实施工作流,Final_Project/Implementation_Workflow/IMPLEMENTATION_WORKFLOW_ZH.md,,实验设计与项目路线,selected,定义分层 benchmark 系统和阶段 A-F 实施路线
EV-003,csv,实验矩阵,Final_Project/Implementation_Workflow/EXPERIMENT_MATRIX.csv,,实验设计与变量控制,candidate,用于组织模型、任务、平台和指标组合
EV-004,csv,结果日志 schema,Final_Project/Implementation_Workflow/RESULT_LOG_SCHEMA.csv,,结果记录规范,selected,定义 latency、memory、success、failure type 等记录字段
EV-005,csv,周交付计划,Final_Project/Implementation_Workflow/WEEKLY_DELIVERABLES.csv,,项目管理与交付节奏,candidate,用于证明阶段性工作安排
EV-006,figure,Gantt 图,Final_Project/Project_Plan/Jetson_VLA_Project_Gantt_Chart.png,Final_Project/Evidence/figures/Jetson_VLA_Project_Gantt_Chart.png,项目计划与时间线,selected,建议复制到 Evidence/figures 供报告和答辩使用
EV-007,csv,Gantt 任务表,Final_Project/Project_Plan/Jetson_VLA_Project_Gantt_Tasks.csv,,项目计划与时间线,candidate,与 Gantt 图配套的任务明细
EV-008,csv,固定任务集,Final_Project/Local_VLA_Benchmark_Framework/data/tasks.csv,,benchmark 输入定义,selected,定义图像、prompt、expected target 和 expected action
EV-009,document,本机 benchmark 说明,Final_Project/Local_VLA_Benchmark_Framework/README_ZH.md,,可复现实验入口,selected,说明本机 VLA/VLM benchmark 的安装和运行方式
EV-010,document,robosuite 仿真说明,Final_Project/Robosuite_MuJoCo_Sim/README_ZH.md,,闭环仿真入口,selected,说明 robosuite 环境、动作 token 和仿真运行方式
EV-011,document,Benchmark UI 说明,Final_Project/Benchmark_UI/README_ZH.md,,可视化与操作入口,selected,说明 UI 启动、数据来源和 PC 端 benchmark 矩阵
EV-012,document,文献综述,Final_Project/References/VLA_Jetson_Literature_Review_ZH.md,,相关工作与背景,selected,用于支撑 VLA、Jetson 和 edge deployment 相关背景
EV-013,csv,本机 benchmark summary 20260619 115936,Final_Project/Local_VLA_Benchmark_Framework/results/benchmark_summary_20260619_115936.csv,,早期本机 benchmark 结果,candidate,保留原始路径，后续确认是否复制到 selected_results
EV-014,csv,本机 benchmark summary 20260619 115944,Final_Project/Local_VLA_Benchmark_Framework/results/benchmark_summary_20260619_115944.csv,,早期本机 benchmark 结果,candidate,保留原始路径，后续确认是否复制到 selected_results
EV-015,jsonl,本机 benchmark results 20260619 115936,Final_Project/Local_VLA_Benchmark_Framework/results/benchmark_results_20260619_115936.jsonl,,早期本机 benchmark 逐条结果,candidate,可用于失败样例和输出格式分析
EV-016,jsonl,本机 benchmark results 20260619 115944,Final_Project/Local_VLA_Benchmark_Framework/results/benchmark_results_20260619_115944.jsonl,,早期本机 benchmark 逐条结果,candidate,可用于失败样例和输出格式分析
EV-017,summary_csv,精选本机 benchmark summary 20260619 115936,Final_Project/Local_VLA_Benchmark_Framework/results/benchmark_summary_20260619_115936.csv,Final_Project/Evidence/selected_results/local_vla_benchmark/benchmark_summary_20260619_115936.csv,本机 baseline 结果,selected,已复制到 selected_results 便于最终报告引用
EV-018,summary_csv,精选本机 benchmark summary 20260619 115944,Final_Project/Local_VLA_Benchmark_Framework/results/benchmark_summary_20260619_115944.csv,Final_Project/Evidence/selected_results/local_vla_benchmark/benchmark_summary_20260619_115944.csv,本机 baseline 结果,selected,已复制到 selected_results 便于最终报告引用
EV-019,summary_csv,pre-Jetson offline VLM smoke summary,Final_Project/Local_VLA_Benchmark_Framework/results/pre_jetson/offline_vlm_smoke_20260630_140742/summary.csv,Final_Project/Evidence/selected_results/pre_jetson_offline_vlm_smoke/offline_vlm_smoke_20260630_140742_summary.csv,Jetson 前模型流程 smoke test,selected,记录 offline VLM smoke 运行摘要
EV-020,summary_csv,robosuite VLM target pick summary,Final_Project/Robosuite_MuJoCo_Sim/outputs/vlm_target_pick_benchmark/20260704_175115/summary.csv,Final_Project/Evidence/selected_results/robosuite_vlm_target_pick/vlm_target_pick_20260704_175115_summary.csv,robosuite 闭环目标抓取结果,selected,记录 VLM target pick benchmark 汇总
EV-021,metadata,robosuite VLM target pick metadata,Final_Project/Robosuite_MuJoCo_Sim/outputs/vlm_target_pick_benchmark/20260704_175115/metadata.json,Final_Project/Evidence/selected_results/robosuite_vlm_target_pick/vlm_target_pick_20260704_175115_metadata.json,robosuite 闭环目标抓取配置,selected,记录该 run 的配置和元数据
