task_id,initial_state_id,h1_success,h20_success,outcome_category
0,0,1,1,both_success
0,1,0,0,both_fail
0,2,0,0,both_fail
0,3,1,1,both_success
0,4,1,1,both_success
1,0,1,1,both_success
1,1,1,1,both_success
1,2,1,1,both_success
1,3,0,1,h20_only
1,4,0,1,h20_only
2,0,1,0,h1_only
2,1,1,1,both_success
2,2,1,1,both_success
2,3,1,0,h1_only
2,4,1,1,both_success
3,0,1,1,both_success
3,1,1,1,both_success
3,2,1,0,h1_only
3,3,1,0,h1_only
3,4,0,1,h20_only
4,0,1,1,both_success
4,1,0,0,both_fail
4,2,1,1,both_success
4,3,1,0,h1_only
4,4,1,1,both_success
5,0,1,0,h1_only
5,1,0,0,both_fail
5,2,0,0,both_fail
5,3,0,0,both_fail
5,4,0,0,both_fail
6,0,1,1,both_success
6,1,0,0,both_fail
6,2,1,1,both_success
6,3,0,1,h20_only
6,4,1,1,both_success
7,0,1,1,both_success
7,1,1,1,both_success
7,2,0,1,h20_only
7,3,1,1,both_success
7,4,1,1,both_success
8,0,1,1,both_success
8,1,1,1,both_success
8,2,0,1,h20_only
8,3,1,1,both_success
8,4,0,0,both_fail
9,0,1,0,h1_only
9,1,0,0,both_fail
9,2,1,1,both_success
9,3,0,0,both_fail
9,4,1,1,both_success
