Task,Owner,Category,Start,End,Duration_days
"Project plan, risk and ethics",All,Project management,2026-06-08,2026-06-12,5
Literature review and VLA model survey,All / model survey lead,Research,2026-06-08,2026-06-26,19
Jetson environment setup,Jetson lead,Deployment,2026-06-15,2026-06-26,12
VLA model selection / feasibility,All,Research,2026-06-15,2026-07-03,19
Input data and instruction samples,Data lead,Data,2026-06-15,2026-07-03,19
Lightweight VLA deployment on Jetson,Jetson lead,Deployment,2026-06-22,2026-07-10,19
OpenVLA / large-model stress test,Jetson lead,Deployment,2026-06-29,2026-07-17,19
Benchmark framework and monitoring,Benchmark lead,Benchmark,2026-06-29,2026-07-10,12
Baseline inference benchmarks,Benchmark lead,Benchmark,2026-07-06,2026-07-17,12
Action output analysis,Benchmark + data leads,Benchmark,2026-07-06,2026-07-24,19
Optimisation experiments,Jetson + benchmark leads,Optimisation,2026-07-13,2026-07-31,19
Local vs remote comparison,Integration lead,Integration,2026-07-20,2026-07-31,12
Optional host simulator,Integration lead,Extension,2026-07-27,2026-08-07,12
Result analysis and visualisation,All,Analysis,2026-08-03,2026-08-21,19
Report and presentation,All,Reporting,2026-08-10,2026-09-04,26
Final portfolio buffer,All,Reporting,2026-08-24,2026-09-04,12
