condition,task_id,seed,initial_state_id,environment_seed,inference_seed,success_at_280,success_step,executed_env_steps,wall_time_to_terminal_s,model_invocations,model_inference_time_s,range_violations,range_clips,buffer_discards,mean_actual_horizon,action_trace_sha256,termination_reason,git_sha,resolved_config_path
Static-H1,0,1000,0,1000,7291560000556540053,False,,280,155.1835984979989,280,96.94908673901227,15,15,0,1.0,099a959cc57be4642f02da3a56a37e3698eaee12047248051b7d925c7447dd38,max_steps,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,0,1001,1,1001,5423831692597276035,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,0,1002,2,1002,2375001413206966694,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,0,1003,3,1003,4270611907575412332,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,0,1004,4,1004,839877525152245279,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,1,1000,0,1000,7380877101995076934,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,1,1001,1,1001,785292248529111346,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,1,1002,2,1002,8319009757324386309,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,1,1003,3,1003,6993734918692727842,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
Static-H1,1,1004,4,1004,4768231714663301246,,,,,,,,,,,,not_started_dry_run,e870c38eb025b942dca13e04de73c6cd595c4821,/mnt/d/VLA/msc26-vla/runs/pilot-determinism-smoke-b/resolved_config.json
