strategy,task_id,target,successes,attempts,success_rate
native,0,alphabet soup,1,3,33.33
native,1,cream cheese,2,3,66.67
native,2,salad dressing,3,3,100.0
native,3,bbq sauce,3,3,100.0
native,4,ketchup,1,3,33.33
native,5,tomato sauce,3,3,100.0
native,6,butter,2,3,66.67
native,7,milk,2,3,66.67
native,8,chocolate pudding,3,3,100.0
native,9,orange juice,2,3,66.67
smooth,0,alphabet soup,3,3,100.0
smooth,1,cream cheese,1,3,33.33
smooth,2,salad dressing,3,3,100.0
smooth,3,bbq sauce,2,3,66.67
smooth,4,ketchup,2,3,66.67
smooth,5,tomato sauce,3,3,100.0
smooth,6,butter,3,3,100.0
smooth,7,milk,1,3,33.33
smooth,8,chocolate pudding,3,3,100.0
smooth,9,orange juice,3,3,100.0
